item_id,case_id,sent_idx,sentence,attributed_chunk,grade_A_fully,grade_B_partly,grade_C_topical,grade_D_not,annotator_grade,notes
18,row14931::14931,10,"* Place meat in a roasting pan, and score the fat on top of the pork.","Flip roast occasionally and redistribute the rub.Preheat oven to 250 degrees. Remove meat from refrigerator 30 minutes before cooking.Place pan in the oven, fat side up, and add 1 cup of water to pan. Roast, uncovered, occasionally basting meat with juices and rub and turning pan to promote even cooking. Cook for 6 to 8 hours, until meat easily shreds.irections. Puree garlic, oregano, olive oil, limes, and salt in a blender or food processor. Place meat in a roasting pan, and score the fat on top of the pork. Rub garlic mixture all over pork.",,,,,A,
19,row12601::12601,0,"Based on the given passages, both acute HIV infection and AIDS can present with symptoms such as fever, swollen lymph glands, sore throat, rash, muscle aches, and fatigue.","5  Sore throat. 6  Swollen lymph glands, mainly on the neck.  Common AIDS symptoms in men include: 1  swollen lymph glands. 2  unusual lesions on the tongue; skin rashes and bumps. 3  nausea, vomiting, and diarrhea.",,,,,B,
20,row8876::8876,0,"Frog Bar & Grill is a restaurant located in Santa Barbara, California.","{'name': 'Frog Bar & Grill', 'address': '405 Glen Annie Rd', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Restaurants, American (Traditional), Nightlife, Bars, Cocktail Bars', 'hours': {'Monday': '11:30-14:0', 'Tuesday': '11:30-14:0', 'Wednesday': '11:30-14:0', 'Thursday': '11:30-14:0', 'Friday': '11:30-14:0'}, 'attributes': {'BusinessParking': None, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': False, 'Ambience': {'divey': False, 'hipster': None, 'casual': None, 'touristy': None, 'trendy': None, 'intimate': None, 'romantic': None, 'classy': None, 'upscale': None}}, 'business_stars': 4.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2019-12-19 06:33:58', 'review_text': 'I enjo",,,,,A,
21,row4888::4888,1,"Here is an objective overview of the local business ""Bree'osh"" based on the provided structured data in JSON format:

Bree'osh is a popular restaurant in Santa Barbara, California that serves French, coffee & tea, and breakfast & brunch cuisine.","{'name': ""Bree'osh"", 'address': '1150 Coast Village Rd, Ste E', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Restaurants, Food, French, Coffee & Tea, Bakeries, Breakfast & Brunch', 'hours': {'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-12:0', 'Saturday': '7:0-14:0', 'Sunday': '7:0-14:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': False, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': T",,,,,B,
22,row6634::6634,9,"Overall, customers seem to enjoy the unique experience and quality of service offered by Rasta Taco Catering.","{'name': 'Rasta Taco Catering', 'address': '3375 Foothill Rd, Ste 6333', 'city': 'Carpinteria', 'state': 'CA', 'categories': 'Caterers, Restaurants, Mexican, Event Planning & Services, Food, Tacos, Bartenders, Food Delivery Services', 'hours': {'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '9:0-14:0', 'Sunday': '9:0-14:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': None, 'OutdoorSeating': True, 'WiFi': None, 'RestaurantsTakeOut': False, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': None}, 'business_stars': 4.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2019-10-17 02:27:02', 'revie",,,,,B,
23,row7416::7416,3,"Other amenities include takeout service, and it is also suitable for group dining.","{'name': 'Taqueria El Buen Gusto', 'address': '836 N Milpas St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Tacos, Restaurants, Mexican', 'hours': {'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}, 'attributes': {'BusinessParking': {'valet': False, 'garage': False, 'street': True, 'lot': True, 'validated': False}, 'RestaurantsReservations': False, 'OutdoorSeating': False, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}}, 'business_stars': 4.5, 'review_info'",,,,,A,
24,row143::143,7,"Hernandez has pleaded not guilty to the murder charge, and his arrest has led to the loss of millions of dollars in expected earnings.","The video is time-stamped minutes after workers in a nearby industrial park describe hearing loud noises like fireworks -- the moment prosecutors say Lloyd was gunned down after getting out of a car Hernandez was driving. Hernandez's lawyers then showed a different part of the video time-stamped a few seconds earlier with Hernandez holding what appeared to be a shiny object in one hand, suggesting it may be an iPad. ""Glock pistols don't have white glows to them, do they?"" defense attorney James Sultan asked. ""No, they do not,"" Aspinwall answered. Sultan then displayed a soft-pellet gun similar in shape to a Glock, suggesting it could also be the object Hernandez is holding. Hernandez has pleaded not guilty in Lloyd's death. But already, his arrest has led to deep consequences, including hi",,,,,A,
25,row3231::3231,3,"The double eviction looms, and tensions are high among the housemates.","'Big Brother 25' Spoilers: Felica Tells Jag That Matt Wants To Target Him In The Double Eviction Big Brother 25 (BB25) spoilers tease that Felica Cannon works to bring Jag Bains into her corner with the double eviction just around the corner. Big Brother Network reports that Felica chats with Jag in the Head of Household room, revealing Matt Klotz could be planning to target him in the double eviction. Felica wants to make it to the final three. She knows she must make some big moves and create chaos to get in that position.",,,,,A,
26,row2602::2602,3,"Younger riders had success at the event, including American dressage rider Laura Graves and Irish showjumper Bertram Allen.","""Coming to the last I knew the time was tight. ""I just went as fast as I could to the finish line, but unfortunately there was a big fence in the way."" He added: ""I've been three times on the podium, twice in the jump-off and always finished in the top 10. I always wanted to win this."" The World Cup Finals are among the most prestigious equestrian titles, but the weekend's events in Las Vegas were notable for the success of younger riders. American dressage rider Laura Graves, a 27-year-old who burst onto the international scene with fifth place at last year's World Equestrian Games, improved to fourth in Vegas.",,,,,A,
27,row14544::14544,3,"The second phase of the Industrial Revolution, starting in the 1860s, saw significant advancements in the production of steel, railroads, electricity, and chemicals, characterized by mass-production and consumption of goods.","Originating in Britain, it was characterised by the introduction of machines for laborious work, the replacement of animal labour with human labour and the widespread use of mineral resources.he Second Industrial Revolution, which began in the 1860s in Europe, the US and Japan, saw great strides in the production of steel, railroads, electricity and chemicals, and was characterised by the mass-production and mass-consumption of goods.",,,,,A,
28,row12944::12944,0,"Based on the given passages, females did not have the rights to vote and own property before the suffrage movement.","It was one of the largest civil movements in the United States, and it eventually led to the biggest change in the way politics were decided.  After the war, woman suffrage endured another setback, when the women’s rights movement found itself divided over the issue of voting rights for black men. Stanton and some other suffrage leaders objected to the proposed 15th Amendment to the U.S. Constitution, which would give black men the right to vote, but failed to extend the same privilege to American women of any skin color.",,,,,B,
29,row5399::5399,0,"Olio Pizzeria is a popular pizza spot located in Santa Barbara, CA.","{'name': 'Olio Pizzeria', 'address': '11 W Victoria St, Ste 21', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Pizza, Nightlife, Italian, Restaurants, Bars', 'hours': {'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-21:30', 'Saturday': '16:0-21:30', 'Sunday': '16:0-21:30'}, 'attributes': {'BusinessParking': {'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': False, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': True, 'casual': None}}, 'business_stars': 4.0, 'review_inf",,,,,B,
30,row12014::12014,4,3.,"Dairy foods with lactose include milk, some cheeses, ice cream, half and half, yogurt, condensed milk, nonfat dried milk powder and cream cheese.  High fiber foods that people with colitis may need to avoid include apples, bananas, blueberries, figs, grapefruits, pears, raspberries, avocados, carrots, kale, popcorn, potatoes with the skin, bran, oats, brown rice, whole wheat breads, legumes, peas and nuts.",,,,,D,
31,row11860::11860,8,Massage your scalp with circular motions to improve blood flow and promote hair growth.,"3  Tip your head until it is upside-down. 4  Then, all the blood will go down to your head and massage your scalp with circular motions for five minutes. 5  This helps with the blood flow and makes hair grow faster. You can use olive oil to make your hair grow out super fast. 2  Make sure you rinse it out good after leaving it in for 10 minutes or so.",,,,,A,
32,row3157::3157,1,The lawsuit accuses Dershowitz of having sex with minors with the help of billionaire Jeffrey Epstein.,"A Florida judge denied a motion by two women to join a lawsuit against Prince Andrew and a prominent U.S. lawyer that alleged  underage sex crimes. Lawyer Alan Dershowitz  was accused of having sex with minors with help from billionaire Jeffrey Epstein. Buckingham Palace denied the allegations, which surfaced in a court filing in January. So did Dershowitz. In his decision, U.S.",,,,,A,
33,row6504::6504,5,Special mention is made to the distinct 'Mr.,"Try anything and everything if you ever encounter one of these, it\'s supposedly a Norcal chain??  You will know the distinct ""Mr. Pickles smell"" once it comes around to make your mouth water.  I was once on a train from UCSB to San Diego and knew someone, somewhere on the train had been teasing all the passengers with the breathtaking Mr. Pickles aroma while he or she was chowing down on undeniably fantastic sandwich!!!'}, {'review_stars': 4.0, 'review_date': '2009-08-11 07:40:24', 'review_text': ""mr. pickles is so yummy!",,,,,B,
34,row5393::5393,6,"If you're in the area, The Good Lion is certainly worth a visit.","Maybe something like Haunted Mansion - very dark lighting with upscale ornate wallpaper and decorative touches. \n\nThe house cocktail list was seriously impressive looking. Each one was well designed and after trying three of them, they were also well executed.",,,,,B,
35,row5388::5388,2,"The bar offers street parking and is suitable for groups, but does not have Wi-Fi or live music.","{'name': 'The Good Lion', 'address': '1212 State St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Cocktail Bars, Lounges, Nightlife, Bars', 'hours': {'Monday': '0:0-0:0', 'Tuesday': '16:0-1:0', 'Wednesday': '16:0-1:0', 'Thursday': '16:0-1:0', 'Friday': '16:0-1:0', 'Saturday': '15:0-1:0', 'Sunday': '15:0-1:0'}, 'attributes': {'BusinessParking': {'garage': None, 'street': True, 'validated': False, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': None, 'RestaurantsGoodForGroups': True, 'Music': False, 'Ambience': {'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}}, 'business_stars': 4.5, 'review_info': ",,,,,A,
36,row14397::14397,6,"The specific steps for replacing the cabin air filter are as follows:

* Lift the hood of the Nissan and locate the air filter housing unit at the front corner of the driver's side of the car.",Locate the air filter housing unit at the front corner on the driver's side of the car. Loosen the screws on the lid of the housing unit with a screwdriver. Lift the lid off of the unit. Remove the old filter from the housing unit by pulling it out.Clean any remaining debris out of the air filter unit. Wipe both the interior and exterior down with a damp cloth.,,,,,B,
37,row9649::9649,4,They also provide free WiFi and offer takeout services.,"{'name': 'Hotdog Mini Mart', 'address': '', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Food, Beer, Wine & Spirits, Hot Dogs, Restaurants', 'hours': {'Monday': '8:30-18:0', 'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '8:30-18:0', 'Friday': '8:30-18:0', 'Saturday': '8:30-18:0', 'Sunday': '8:30-18:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}}, 'business_stars': 4.5, '",,,,,A,
38,row12625::12625,3,Finish with another brush using the slicker brush.,"Finally, one more brush through with the slicker brush and your weekly grooming session is done. While grooming a Leonberger may seem like an enormous task, your Leo will thank you and pay you back pound for pound with love and gratitude.",,,,,A,
39,row4570::4570,2,Nesbitt resurfaced without her and is currently serving a 24-year prison sentence.,"After checking the residence, authorities located “drugs, money, and weapons.” Police first believed that both Nesbitt and Melissa met with foul play. Things would change when he resurfaced without the missing woman.The Charley Project describes him as a “violent man” with “a long history of criminal behavior.” Those infractions include a concerning list of “assaults and batteries and aggravated offenses.” Nesbitt is reportedly serving a 24-year prison sentence concerning an unrelated weapons charge. Information regarding Melissa's other affairs, including her work life and family connections, is unclear. What has remained are government databases with little details about this mystery. Contact Information At the time of her disappearance, Melissa Jordon stood 5 feet 5 inches to 5 feet 6 i",,,,,A,
40,row6472::6472,1,"Here's an objective overview of Cantwells Summerland Market based on the provided structured data in JSON format:

Cantwells Summerland Market is a versatile local business in Summerland, California, offering a range of products and services including gas, delis, automotive, specialty food, restaurants, convenience stores, fruits & veggies, and health markets.","{'name': 'Cantwells Summerland Market', 'address': '2580 Lillie Ave', 'city': 'Summerland', 'state': 'CA', 'categories': 'Gas Stations, Delis, Automotive, Specialty Food, Restaurants, Convenience Stores, Fruits & Veggies, Food, Health Markets', 'hours': None, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'paid', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}}, 'business_stars': 3.5, 'review_info': [{'review_stars': 5.0, 'review_date': '2018-02-23 03:37:5",,,,,A,
41,row14775::14775,3,* Press the Connect button on the back of the Xbox 360 controller.,"Press and hold this button until it starts flashing green too. Then, press the Connect button at the back of the Xbox 360 controller. It is a small button nested close to the left shoulder button.  Use the installation CD that came with your Xbox 360 Controller for Windows before you connect the controller to your computer: 1  Insert the installation disc in the CD or DVD drive on your computer.",,,,,A,
42,row11802::11802,4,"You can choose to serve your ribs with sauce on the side or on the top, along with sides like macaroni salad, potato salad, baked beans, and pickles.","You can put sauce on the side or on the top, or both. You can serve yours with macaroni salad, potato salad, baked beans, I always put pickles on mine. Thanks for watching, for more information on how to cook ribs on a charcoal grill, check us out on the web, at About.com.",,,,,A,
43,row11043::11043,3,Passage 2 provides information on how to convert simple guitar chords (majors and minors) into piano chords.,I get chords from guitar sites since there are no piano chords of songs that I know of except http://classpiano.com/ Here's what I know-Simple chords (Majors and minors) - chord inversions Here's what I don't know-Reading...ere's what I don't know. - Reading guitar tabs and turning them into piano-playable chords. - Converting guitar chords with capo into piano-playable chords. ex (http://www.ultimate-guitar.com/tabs/s/st...,,,,,D,
44,row5635::5635,9,"However, they do not provide WiFi.","{'name': 'La Guerrerita Mexican Food', 'address': '5698 Hollister Ave, Ste A', 'city': 'Goleta', 'state': 'CA', 'categories': 'Mexican, Restaurants, Breakfast & Brunch', 'hours': {'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, 'RestaurantsReservations': True, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': None, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}}, 'business_stars': ",,,,,A,
45,row14089::14089,1,"However, passage 3 states that your doctor may not require you to be on a liquid diet the entire time, but it is common to be on a liquids-only diet for the last two weeks before the operation.","Your doctor may not be require you to be on a liquid diet that entire time, but it's common to be on a liquids-only diet for the last two weeks before your operation. This diet is typically low-calorie, often between 800 and 1,200 calories.",,,,,A,
46,row3825::3825,0,The Duggar family is at it again with pregnancy rumors!,"Is Hannah Wissmann pregnant again? Here’s why fans think so Another day, another Duggar pregnancy speculation. Hannah Wissmann is on the radar after Joy-Anna Duggar’s video highlights from the Duggar family’s Florida vacation. She did a good job keeping most of the sisters-in-law out of the video or in very small doses, but Jeremiah Duggar’s wife was seen in the kitchen with Brynley as Jason Duggar and Austin Forsyth chatted. While the video quality wasn’t great, it appeared that Hannah may have a baby bump.",,,,,A,
47,row13365::13365,9,"(Passage 3)

Unable to answer based on given passages.","To prevent mold from building up on the inside of your plastic shower curtain or shower liner, first, always run the exhaust fan in the bathroom for at least 20 minutes after taking a shower and open bathroom windows and doors to improve air circulation for things to dry.  1 Carefully remove the plastic shower curtains from hooks and peel up shower mat, take them to your washing machine (pretty easy so far). 2  Place them in your washing machine, along with the 2 towels.",,,,,D,
48,row6022::6022,0,Sure!,"They had great customer service though, very approachable and sweet staff.'}, {'review_stars': 3.0, 'review_date': '2021-10-12 19:49:34', 'review_text': ""I had a Greek Scramble, with spinach, tomato, onion, bacon, and feta. It was good, and everything was fresh. Serving sizes won't leave you stuffed but are still filling.",,,,,D,
